Year,Month,Day,Hour,Evap_mm_hr
1998,1,24,3,0.048012931030505225
1998,1,24,4,0.046346738
1998,1,24,5,0.044802994
1998,1,24,6,0.043375365887420504
1998,1,24,7,0.048020515
1998,1,24,8,0.079936525
1998,1,24,9,0.24810879138560812
1998,1,24,10,0.41096201639580676
1998,1,24,11,0.4858817895174801
1998,1,24,12,0.6202166714162933
1998,1,24,13,0.5612436835297756
1998,1,24,14,0.5867114660675463
1998,1,24,15,0.4703185736160954
1998,1,24,16,0.3032278279413864
1998,1,24,17,0.12141631946861726
1998,1,24,18,0.1037586966725724
1998,1,24,19,0.10081956215555606
1998,1,24,20,0.096538487
1998,1,24,21,0.092326558
1998,1,24,22,0.089662602
1998,1,24,23,0.087189252
1998,1,25,0,0.084906025
1998,1,25,1,0.080103299
1998,1,25,2,0.072796074
1998,1,25,3,0.064720852
1998,1,25,4,0.060791186267046424
1998,1,25,5,0.058607019
1998,1,25,6,0.05649436
1998,1,25,7,0.062983215
1998,1,25,8,0.093045729
1998,1,25,9,0.12775023860264242
1998,1,25,10,0.19632974007186865
1998,1,25,11,0.26923245899607595
1998,1,25,12,0.4828024847034509
1998,1,25,13,0.6127547818306572
1998,1,25,14,0.5523188110465721
1998,1,25,15,0.43116105396860593
1998,1,25,16,0.2646851779189067
1998,1,25,17,0.086102206
1998,1,25,18,0.063197333
1998,1,25,19,0.060877528703212606
1998,1,25,20,0.054800451
1998,1,25,21,0.050143984
1998,1,25,22,0.050919504742488214
1998,1,25,23,0.058475052318457406
1998,1,26,0,0.070840425
1998,1,26,1,0.083946689
1998,1,26,2,0.091459341
1998,1,26,3,0.091297414
1998,1,26,4,0.089803956
1998,1,26,5,0.088703107
1998,1,26,6,0.088002953
1998,1,26,7,0.091818906
1998,1,26,8,0.12870187483782836
1998,1,26,9,0.2985200482430578
1998,1,26,10,0.46770604426566115
1998,1,26,11,0.5966779
1998,1,26,12,0.6690712498163828
1998,1,26,13,0.6770035679634244
1998,1,26,14,0.620405381
1998,1,26,15,0.49638610341522915
1998,1,26,16,0.30582310745759006
1998,1,26,17,0.10575797003195811
1998,1,26,18,0.061933326
1998,1,26,19,0.061238989
1998,1,26,20,0.059213316273291725
1998,1,26,21,0.058681913
1998,1,26,22,0.055422038
1998,1,26,23,0.049552394
1998,1,27,0,0.042357096182850204
1998,1,27,1,0.041878422
1998,1,27,2,0.043096602094341234
1998,1,27,3,0.044534237
1998,1,27,4,0.0434554
1998,1,27,5,0.042221681
1998,1,27,6,0.043240922
1998,1,27,7,0.047755421
1998,1,27,8,0.098532333
1998,1,27,9,0.29583780342013744
1998,1,27,10,0.49033917920803544
1998,1,27,11,0.6311373455332001
1998,1,27,12,0.7051622110499345
1998,1,27,13,0.7105012067570246
1998,1,27,14,0.6450291898605259
1998,1,27,15,0.5157627936769399
1998,1,27,16,0.32188235433361295
1998,1,27,17,0.12034376536562995
1998,1,27,18,0.09234061
1998,1,27,19,0.098356534
1998,1,27,20,0.093563566
1998,1,27,21,0.084524518
1998,1,27,22,0.079036476
1998,1,27,23,0.075406902
1998,1,28,0,0.072068536
1998,1,28,1,0.06605926
1998,1,28,2,0.061561305
1998,1,28,3,0.059833748311886335
1998,1,28,4,0.059507415
1998,1,28,5,0.058017408
1998,1,28,6,0.056642126
1998,1,28,7,0.056488276426993576
1998,1,28,8,0.086456081
1998,1,28,9,0.25466688210751265
1998,1,28,10,0.3744254514417841
1998,1,28,11,0.4919173411617455
1998,1,28,12,0.5865051252289794
1998,1,28,13,0.5294858435958844
1998,1,28,14,0.5562924526150941
1998,1,28,15,0.32951448024764624
1998,1,28,16,0.24263357060744067
1998,1,28,17,0.0971128
1998,1,28,18,0.066957662
1998,1,28,19,0.064659048
1998,1,28,20,0.062395052
1998,1,28,21,0.058962335840906675
1998,1,28,22,0.057244376
1998,1,28,23,0.054505526
1998,1,29,0,0.050330973
1998,1,29,1,0.049862006
1998,1,29,2,0.054539635809511766
1998,1,29,3,0.057697822
1998,1,29,4,0.063491998
1998,1,29,5,0.070613892
1998,1,29,6,0.077799623
1998,1,29,7,0.090973899
1998,1,29,8,0.14496484029500872
1998,1,29,9,0.3266975871769555
1998,1,29,10,0.5005941837852254
1998,1,29,11,0.6362544255731166
1998,1,29,12,0.6527166373869611
1998,1,29,13,0.7225142167302678
1998,1,29,14,0.6550778237255594
1998,1,29,15,0.45890206041614834
1998,1,29,16,0.24306586561477847
1998,1,29,17,0.10394475797046322
1998,1,29,18,0.062365975
1998,1,29,19,0.062733985
1998,1,29,20,0.064452715
1998,1,29,21,0.063233158
1998,1,29,22,0.062298254491417966
1998,1,29,23,0.05880671
1998,1,30,0,0.056907332
1998,1,30,1,0.055192432
1998,1,30,2,0.052349214
1998,1,30,3,0.051004465
1998,1,30,4,0.052419756
1998,1,30,5,0.056425424418057785
1998,1,30,6,0.058918359
1998,1,30,7,0.065203172
1998,1,30,8,0.10963273015308451
1998,1,30,9,0.18068060337508202
1998,1,30,10,0.2364563745272173
1998,1,30,11,0.26182621458109234
1998,1,30,12,0.28815231209603887
1998,1,30,13,0.25879026912146685
1998,1,30,14,0.2879260670177876
1998,1,30,15,0.4915511361545707
1998,1,30,16,0.3217873441392068
1998,1,30,17,0.14518094251498395
1998,1,30,18,0.10159843768932206
1998,1,30,19,0.10084524676854198
1998,1,30,20,0.098530465
1998,1,30,21,0.096094345
1998,1,30,22,0.095269146
1998,1,30,23,0.091676354
1998,1,31,0,0.090096693
1998,1,31,1,0.094569134
1998,1,31,2,0.09920573
1998,1,31,3,0.089004848
1998,1,31,4,0.077072856
1998,1,31,5,0.07070418
1998,1,31,6,0.074212277
1998,1,31,7,0.088149975
1998,1,31,8,0.13371379289645122
1998,1,31,9,0.3143397270659416
1998,1,31,10,0.4919619309523322
1998,1,31,11,0.6304774907997726
1998,1,31,12,0.7175526340180037
1998,1,31,13,0.7280327184250613
1998,1,31,14,0.6638398019921959
1998,1,31,15,0.5279074000976275
1998,1,31,16,0.32244618948641773
1998,1,31,17,0.11236213380595558
1998,1,31,18,0.054315696818207436
1998,1,31,19,0.046580385298332735
1998,1,31,20,0.046121199
1998,1,31,21,0.051150418
1998,1,31,22,0.052940934711955365
1998,1,31,23,0.053427229059857334
1998,2,1,0,0.052951752
1998,2,1,1,0.051287296
1998,2,1,2,0.049716986070207296
1998,2,1,3,0.049396605
1998,2,1,4,0.049171465
1998,2,1,5,0.047781792693271485
1998,2,1,6,0.047560102427826254
1998,2,1,7,0.053311035892459044
1998,2,1,8,0.090732163
1998,2,1,9,0.094932456
1998,2,1,10,0.3356296909867277
1998,2,1,11,0.48043963026763964
1998,2,1,12,0.49990838214502104
1998,2,1,13,0.5706789345486529
1998,2,1,14,0.5171102011842188
1998,2,1,15,0.4652056
1998,2,1,16,0.2618158253754968
1998,2,1,17,0.089115446
1998,2,1,18,0.069859078
1998,2,1,19,0.077722757
1998,2,1,20,0.07344846
1998,2,1,21,0.063847711
1998,2,1,22,0.060265921
1998,2,1,23,0.059556790230274034
1998,2,2,0,0.060124923
1998,2,2,1,0.060751356609680375
1998,2,2,2,0.061796753
1998,2,2,3,0.066513789
1998,2,2,4,0.074606661
1998,2,2,5,0.080027137
1998,2,2,6,0.081641017
1998,2,2,7,0.088182432
1998,2,2,8,0.13799157542441104
1998,2,2,9,0.3213621982948629
1998,2,2,10,0.49713661357259786
1998,2,2,11,0.6341096262823815
1998,2,2,12,0.7070097523361805
1998,2,2,13,0.708068248
1998,2,2,14,0.6383235957345433
1998,2,2,15,0.5124591375689082
1998,2,2,16,0.32025424343936815
1998,2,2,17,0.1165677600952865
1998,2,2,18,0.058389584593721545
1998,2,2,19,0.055302843999602766
1998,2,2,20,0.05216085
1998,2,2,21,0.048804001
1998,2,2,22,0.046843418545331465
1998,2,2,23,0.047680791
1998,2,3,0,0.048528328
1998,2,3,1,0.05072563
1998,2,3,2,0.051623557
1998,2,3,3,0.050219082
1998,2,3,4,0.046298329
1998,2,3,5,0.04210894
1998,2,3,6,0.039207605
1998,2,3,7,0.041139474
1998,2,3,8,0.096204915
1998,2,3,9,0.2773249089551966
1998,2,3,10,0.4524503299649492
1998,2,3,11,0.5978332449783588
1998,2,3,12,0.683538649
1998,2,3,13,0.695210206
1998,2,3,14,0.6372097081863681
1998,2,3,15,0.515071862
1998,2,3,16,0.329008713
1998,2,3,17,0.12905725113312003
1998,2,3,18,0.073158225
1998,2,3,19,0.077959278
1998,2,3,20,0.079752042
1998,2,3,21,0.078492791
1998,2,3,22,0.077196572
1998,2,3,23,0.071640618
1998,2,4,0,0.066605555
1998,2,4,1,0.060430744
1998,2,4,2,0.058498858788544585
1998,2,4,3,0.060410524154870276
1998,2,4,4,0.063592047
1998,2,4,5,0.061739287
1998,2,4,6,0.060172699
1998,2,4,7,0.072920265
1998,2,4,8,0.14289382272441617
1998,2,4,9,0.33566233517006233
1998,2,4,10,0.5119378023641412
1998,2,4,11,0.5828888230835783
1998,2,4,12,0.7163298128005356
1998,2,4,13,0.5982086558560016
1998,2,4,14,0.5177232065632805
1998,2,4,15,0.3830451193152369
1998,2,4,16,0.28603990116207234
1998,2,4,17,0.1689531471417141
1998,2,4,18,0.11384030015846514
1998,2,4,19,0.094605118
1998,2,4,20,0.072621058
1998,2,4,21,0.057162073562746496
1998,2,4,22,0.048702085496056674
1998,2,4,23,0.047972648090616146
1998,2,5,0,0.04729741
1998,2,5,1,0.046961559
1998,2,5,2,0.046788018787652486
1998,2,5,3,0.047932217799110395
1998,2,5,4,0.050490524203781466
1998,2,5,5,0.051724693
1998,2,5,6,0.053071315472576895
1998,2,5,7,0.060846501
